municipio,vereador,partido,email,telefone,proposta_tipo,proposta_numero,proposta_ano,proposta_ementa,proposta_url
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,9.0,2026.0,"INSTITUI O PROGRAMA MUNICIPAL DE INCLUSÃO E APOIO ÀS CRIANÇAS NEURODIVERGENTES NA CIDADE DE BAYEUX E, DÁ OUTRAS PROVIDÊNCIAS.",https://sapl.bayeux.pb.leg.br/materia/417
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,8.0,2026.0,"DENOMINA DE “ESCOLA DO LEGISLATIVO PRESIDENTE ADRIANO MARTINS” A ESCOLA DO LEGISLATIVO DA CÂMARA MUNICIPAL DE BAYEUX, E DÁ OUTRAS PROVIDÊNCIAS.",https://sapl.bayeux.pb.leg.br/materia/394
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,7.0,2026.0,INSTITUI O PROGRAMA MUNICIPAL PERMANENTE DE COMBATE ÀS ARBOVIROSES NO ÂMBITO DO MUNICÍPIO DE BAYEUX,https://sapl.bayeux.pb.leg.br/materia/393
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,6.0,2026.0,"INSTITUI O DIA MUNICIPAL DE CONSCIENTIZAÇÃO SOBRE A LEUCEMIA NO ÂMBITO DO MUNICÍPIO DE BAYEUX, E DÁ OUTRAS PROVIDÊNCIAS.",https://sapl.bayeux.pb.leg.br/materia/390
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,6.0,2026.0,REQUER QUE SEJA REALIZADO UM ESTUDO PARA IMPLEMENTAÇÃO DO FORNECIMENTO DE UM SOPÃO ENTRE O PERÍODO VESPERTINO E NOTURNO NO RESTAURANTE POPULAR.,https://sapl.bayeux.pb.leg.br/materia/375
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,5.0,2026.0,"Altera a Lei Municipal nº 1.520/2019, que dispõe sobre a criação do cargo de Procurador Jurídico da Câmara Municipal de Bayeux, para redefinir suas atribuições e excluir competências relativas ao controle externo e ao controle interno.",https://sapl.bayeux.pb.leg.br/materia/380
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PDL,5.0,2026.0,"CONCEDE O TÍTULO DE CIDADÃO BAYEUXENSE AO EXMO. SR. GOVERNADOR DO ESTADO DA PARAÍBA, JOÃO AZEVEDO LINS FILHO.",https://sapl.bayeux.pb.leg.br/materia/438
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,5.0,2026.0,REQUER PROVIDÊNCIAS QUANTO A REVITALIZAÇÃO DAS FAIXAS DE PEDESTRES LOCALIZADAS NA AV. LIBERDADE.,https://sapl.bayeux.pb.leg.br/materia/374
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,4.0,2026.0,"Autoriza o Poder Executivo Municipal a adquirir, por compra, bem imóvel destinado à instalação e funcionamento da Secretaria Municipal da Mulher e da Diversidade Humana e dá outras providências.",https://sapl.bayeux.pb.leg.br/materia/371
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PDL,4.0,2026.0,CONCEDE O TÍTULO DE CIDADÃO BAYEUXENSE AO EXMO. SR. DEPUTADO FEDERAL AGUINALDO VELLOSO BORGES RIBEIRO.,https://sapl.bayeux.pb.leg.br/materia/437
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,4.0,2026.0,"REQUER O ALARGAMENTO DA VIA PÚBLICA, CONHECIDA COMO “LADEIRA DE EU BIU” LOCALIZADA NO BAIRRO DA IMACULADA, BEM COMO A PAVIMENTAÇÃO ASFÁLTICA EM TODA A SUA EXTENSÃO",https://sapl.bayeux.pb.leg.br/materia/373
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,3.0,2026.0,"Institui o Adicional de Periculosidade aos Agentes de Trânsito da Superintendência Executiva de Mobilidade Urbana – SEMOB do Município de Bayeux, e dá outras providências.",https://sapl.bayeux.pb.leg.br/materia/367
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PDL,3.0,2026.0,"Concede o Título de Cidadã Bayeuxense à Excelentíssima Senhora Senadora Daniella Ribeiro, e dá outras providências.",https://sapl.bayeux.pb.leg.br/materia/436
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,2.0,2026.0,"Dispõe sobre a mutação dominial de bem de uso especial para bem de uso especial diverso, altera a afetação de imóvel público municipal e dá outras providências.",https://sapl.bayeux.pb.leg.br/materia/366
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLC,1.0,2026.0,"Dispõe sobre a instituição da Campanha de Recuperação Fiscal – Incentivo Fiscal, destinada à regularização de débitos tributários e não tributários, relativos a preços públicos, multas, juros de mora, multas por infração e demais receitas públicas devidas ao Município de Bayeux/PB, e dá outras providências.",https://sapl.bayeux.pb.leg.br/materia/376
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,1.0,2026.0,"Cria a Fundação Municipal de Cultura de Bayeux – FUNBY, estabelece sua estrutura organizacional, competências, receitas e patrimônio, e dá outras providências.",https://sapl.bayeux.pb.leg.br/materia/363
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PDL,1.0,2026.0,"CONCEDE TÍTULO DE CIDADÃO BAYEUXENSE AO COMANDANTE DA POLÍCIA MILITAR DA PARAÍBA, CORONEL PM SÉRGIO FONSECA DE SOUZA",https://sapl.bayeux.pb.leg.br/materia/402
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,465.0,2025.0,REQUER A INTENSIFICAÇÃO DA FISCALIZAÇÃO DA GUARDA MUNICIPAL QUANTO AO USO DE FOGOS DE ARTIFÍCIO NO MUNICIPIO.,https://sapl.bayeux.pb.leg.br/materia/314
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,464.0,2025.0,"REQUER A CONFECÇÃO E INSTALAÇÃO DE PLACAS INDICATIVAS, INFORMANDO A PROIBIÇÃO DO USO DE FOGOS DE ARTIFÍCIO NO CAMPO LOURIVAL, BEM COMO EM QUADRAS, GINÁSIOS POLIESPORTIVOS E PRAÇAS.",https://sapl.bayeux.pb.leg.br/materia/313
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,462.0,2025.0,REQUER QUE SEJA DEFINIDO UM LOCAL ESPECÍFICO E ADEQUADO PARA ACOMODAÇÃO DO ACERVO INSTITUCIONAL DESTA CÂMARA MUNICIPAL.,https://sapl.bayeux.pb.leg.br/materia/306
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,451.0,2025.0,"REQUER QUE SEJA REALIZADO O REPARO DO BURACO NO INÍCIO DA PONTE DO MANGUINHOS, POR MEIO DA OPERAÇÃO TAPA-BURACO, NO BAIRRO DO MANGUINHOS EM BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/290
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,450.0,2025.0,"REQUER QUE SEJA REALIZADA A RECUPERAÇÃO DO CALÇAMENTO, POR MEIO DA OPERAÇÃO TAPA-BURACO, NA RUA DR. GILVAN MURIBECA, ESQUINA COM A RUA JUAREZ MARACAJÁ, NO BAIRRO DA IMACULADA EM BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/289
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,449.0,2025.0,"REQUER QUE SEJA REALIZADO O REPARO DE UM BURACO NA RUA MANGUINHO, POR MEIO DA OPERAÇÃO TAPA-BURACO, NO BAIRRO DO MANGUINHOS EM BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/288
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,432.0,2025.0,"REQUER QUE SEJA REALIZADA A RECUPERAÇÃO DO CALÇAMENTO, POR MEIO DA OPERAÇÃO TAPA-BURACO, NA RUA RUI BARBOSA, NO TRECHO QUE CRUZA COM A RUA PLÁCIDO DE OLIVEIRA LIMA, NO BAIRRO DA IMACULADA EM BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/262
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,431.0,2025.0,"REQUER QUE SEJA REALIZADO EM CARÁTER DE URGÊNCIA, A CAPINAÇÃO DA RUA PLÁCIDO DE OLIVEIRA LIMA E VIAS ADJACENTES, NO BAIRRO DA IMACULADA.",https://sapl.bayeux.pb.leg.br/materia/261
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,412.0,2025.0,"REQUER A ILUMINAÇÃO DA FACHADA DA CÂMARA MUNICIPAL NA COR AZUL, EM ALUSÃO À CAMPANHA NOVEMBRO AZUL.",https://sapl.bayeux.pb.leg.br/materia/228
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,402.0,2025.0,"REQUER A INSTALAÇÃO DE UMA BASE DE APOIO DA GUARDA CIVIL MUNICIPAL NO ESTÁDIO LOURIVAL CAETANO, NO BAIRRO DA IMACULADA.",https://sapl.bayeux.pb.leg.br/materia/203
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,401.0,2025.0,"REQUER O REPARO DOS QUEBRA-MOLAS (LOMBADA) JÁ EXISTENTES E A INSTALAÇÃO DE UM NOVO REDUTOR DE VELOCIDADE NA RUA PLÁCIDO DE OLIVEIRA LIMA, NO BAIRRO DA IMACULADA.",https://sapl.bayeux.pb.leg.br/materia/202
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,387.0,2025.0,"REQUER O AUMENTO DA COTA DE EXAMES DE MAMOGRAFIA E ULTRASSONOGRAFIA DA MAMA, DURANTE O MÊS DE OUTUBRO, DEDICADO A PREVENÇÃO DO CÂNCER DE MAMA.",https://sapl.bayeux.pb.leg.br/materia/183
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,376.0,2025.0,"REQUER DISPONIBILIZAÇÃO DE UMA EQUIPE DE CAPINAGEM PARA O CEMITÉRIO NOSSA SENHORA DA BOA MORTE, EM BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/171
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,375.0,2025.0,"REQUER QUE SEJA CONCECIDO O PRESENTE VOTO DE APLAUSOS AOS ALUNOS DA REDE ESTADUAL DE ENSINO, QUE PARTICIPARAM, DE UM PROGRAMA DE INTERCÂMBIO INTERNACIONAL.",https://sapl.bayeux.pb.leg.br/materia/170
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,349.0,2025.0,"REQUER QUE SEJA REALIZADA A OPERAÇÃO TAPA-BURACO, NA BIFURCAÇÃO ENTRE A AV. LIBERDADE COM A RUA MANOEL FRANCISCO VENÂNCIO, NO CENTRO DE BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/120
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,348.0,2025.0,"REQUER A INSTALAÇÃO DE EQUIPAMENTOS DE VENTILAÇÃO NA CENTRAL DE VELÓRIO DO CEMITÉRIO NOSSA SENHORA DA BOA MORTE, EM BAYEUX.",https://sapl.bayeux.pb.leg.br/materia/119
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,330.0,2025.0,"Requer a implantação de uma mureta do tipo guardrail (defensa metálica de proteção que geralmente aparece nas margens de pistas de automobilismo e em muitas estradas públicas), no trecho da saída da BR 101 e entrada na bifurcação que dá acesso à Rua Engenheiro de Carvalho, para evitar que os veículos passem por cima da calçada da Rua Francisco Marques da Fonseca para a via local ao lado.",https://sapl.bayeux.pb.leg.br/materia/95
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,REQ,306.0,2025.0,"Requeiro a Vossa Excelência na forma disciplinada pelos arts. 116 e 119 e seu inciso IV, do Regimento Interno, depois de ouvido o Plenário, que seja encaminhado, um expediente a Exma. Sra. Prefeita constitucional de Bayeux, Tarcyanna Macedo Mota Leitão, no sentido de viabilizar junto a secretaria de infraestrutura do município, a realização da troca de lâmpada do poste localizado na Rua Francisco ",https://sapl.bayeux.pb.leg.br/materia/33
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,129.0,2025.0,TORNA OBRIGATÓRIA A DISPONIBILIZAÇÃO DE BALANÇAS DE PESAGEM NO SETOR DE “HORTIFRÚTI” DOS ESTABELECIMENTOS VAREJISTAS E DÁ OUTRAS PROVIDÊNCIAS.,https://sapl.bayeux.pb.leg.br/materia/327
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,128.0,2025.0,INSTITUI A SEMANA MUNICIPAL DA CIDADANIA LGBTQIAPN+ NO CALENDÁRIO OFICIAL DO MUNICÍPIO DE BAYEUX E DÁ OUTRAS PROVIDÊNCIAS.,https://sapl.bayeux.pb.leg.br/materia/323
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,127.0,2025.0,"ALTERA A DENOMINAÇÃO DO LOGRADOURO AVENIDA BRASIL, NO MUNICÍPIO DE BAYEUX, PARA AVENIDA PREFEITO JOTA JÚNIOR, E REVOGA A LEI MUNICIPAL Nº 1.260, DE 29 DE AGOSTO DE 2012.",https://sapl.bayeux.pb.leg.br/materia/311
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,124.0,2025.0,Concede folga no dia do aniversário aos servidores públicos do Município de Bayeux e dá outras providências.,https://sapl.bayeux.pb.leg.br/materia/302
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,122.0,2025.0,DECLARA DE UTILIDADE PÚBLICA MUNICIPAL A ASSOCIAÇÃO DE MULHERES ATIVAS DO RIO DO MEIO E DE BAYEUX/PB - AMARBAY.,https://sapl.bayeux.pb.leg.br/materia/293
Bayeux,Cabo Rubem,PSB,caborubem@bayeux.pb.leg.br,,PLO,121.0,2025.0,"Dispõe sobre a autorização da concessão de auxílio-moradia, no âmbito de Bayeux, para as famílias de baixa renda que se encontrarem nas situações que indica, e determina providências correlatas.",https://sapl.bayeux.pb.leg.br/materia/284
